City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
218,San Ramon,US,2021-04-10 01:03:47,37.7799,-121.978,62.01,55,1,11.5
219,Sangar,RU,2021-04-10 01:03:48,63.9242,127.4739,18.59,90,100,3.18
220,Mitsamiouli,KM,2021-04-10 01:03:48,-11.3847,43.2844,80.98,74,100,4.88
221,Springdale,US,2021-04-10 01:03:48,36.1867,-94.1288,71.6,56,75,9.22
222,Hanzhong,CN,2021-04-10 01:03:49,33.0728,107.0303,54.41,88,100,1.9
223,Zalantun,CN,2021-04-10 01:03:49,48.0,122.7167,55.54,26,97,17.47
224,Keningau,MY,2021-04-10 01:03:49,5.3378,116.1602,82.4,78,20,3.44
225,Ville-Marie,CA,2021-04-10 01:03:50,47.3335,-79.433,55.4,88,90,9.22
226,Los Llanos De Aridane,ES,2021-04-10 01:03:50,28.6585,-17.9182,64.4,77,0,4.61
227,Mandalay,MM,2021-04-10 00:58:52,21.9747,96.0836,82.4,54,40,2.3
228,Gweta,BW,2021-04-10 01:03:50,-20.1833,25.2333,66.76,48,0,7.23
229,Rafai,CF,2021-04-10 01:03:51,4.95,23.9167,70.03,92,95,2.13
230,Shakawe,BW,2021-04-10 01:03:51,-18.3667,21.85,61.12,41,0,5.06
231,Isangel,VU,2021-04-10 01:03:51,-19.55,169.2667,87.8,79,40,6.91
232,Antsohihy,MG,2021-04-10 01:03:52,-14.8796,47.9875,71.78,93,98,2.89
233,Deputatskiy,RU,2021-04-10 01:03:52,69.3,139.9,-2.0,91,100,4.34
234,Sydney,AU,2021-04-10 01:03:46,-33.8679,151.2073,71.01,40,20,21.85
235,Rassvet,RU,2021-04-10 01:03:52,46.8333,40.75,38.73,89,100,8.16
236,Valparaiso,CL,2021-04-10 01:01:28,-33.0393,-71.6273,60.01,76,0,9.75
237,Namatanai,PG,2021-04-10 01:03:53,-3.6667,152.4333,84.78,68,80,10.13
238,Rio Gallegos,AR,2021-04-10 01:03:27,-51.6226,-69.2181,44.6,70,0,6.91
239,Merauke,ID,2021-04-10 01:03:53,-8.4667,140.3333,83.28,71,45,4.0
240,Chapais,CA,2021-04-10 01:00:22,49.7834,-74.8492,50.0,66,90,10.36
241,Yeppoon,AU,2021-04-10 01:03:54,-23.1333,150.7333,86.0,54,0,5.75
242,Vardo,NO,2021-04-10 01:03:54,70.3705,31.1107,17.6,67,0,12.66
243,Longyearbyen,SJ,2021-04-10 01:03:09,78.2186,15.6401,32.0,69,75,18.41
244,Alice Springs,AU,2021-04-10 00:58:55,-23.7,133.8833,79.0,38,85,13.8
245,Kavieng,PG,2021-04-10 01:03:55,-2.5744,150.7967,83.88,67,94,3.78
246,Bathsheba,BB,2021-04-10 01:03:55,13.2167,-59.5167,78.8,65,20,9.22
247,Hambantota,LK,2021-04-10 01:01:11,6.1241,81.1185,75.2,100,20,2.3
248,Ostersund,SE,2021-04-10 01:03:55,63.1792,14.6357,24.8,68,67,4.61
249,Port-Cartier,CA,2021-04-10 01:03:56,50.0334,-66.8654,44.6,36,20,11.5
250,Bengkulu,ID,2021-04-10 01:00:13,-3.8004,102.2655,78.66,83,33,4.47
251,Cidreira,BR,2021-04-10 01:03:56,-30.1811,-50.2056,74.41,80,100,9.57
252,Dwarka,IN,2021-04-10 01:03:56,22.2394,68.9678,78.76,71,0,10.2
253,Williston,US,2021-04-10 01:00:04,48.147,-103.618,53.01,19,0,1.01
254,Havre-Saint-Pierre,CA,2021-04-10 01:03:57,50.2334,-63.5986,41.0,38,1,10.36
255,Pevek,RU,2021-04-10 01:03:57,69.7008,170.3133,-7.4,86,45,3.15
256,Lagunillas,VE,2021-04-10 01:01:14,10.1301,-71.2595,79.05,82,100,5.21
257,Imbituba,BR,2021-04-10 01:01:44,-28.24,-48.6703,77.0,83,40,11.5
258,Eureka,US,2021-04-10 01:03:58,40.8021,-124.1637,50.0,73,91,10.0
259,Warri,NG,2021-04-10 01:03:58,5.5167,5.75,78.85,84,100,3.71
260,Ponta Do Sol,PT,2021-04-10 01:03:58,32.6667,-17.1,61.0,76,43,3.0
261,Howard Springs,AU,2021-04-10 01:03:58,-12.497,131.047,90.0,79,75,6.91
262,Grindavik,IS,2021-04-10 01:03:59,63.8424,-22.4338,26.6,93,20,5.75
263,Kahului,US,2021-04-10 01:03:59,20.8947,-156.47,78.8,57,20,23.02
264,Saskylakh,RU,2021-04-10 01:03:59,71.9167,114.0833,-8.45,97,73,1.3
265,Tonder,DK,2021-04-10 01:04:00,54.9331,8.8667,37.0,77,8,10.83
266,Lavrentiya,RU,2021-04-10 00:59:07,65.5833,-171.0,-0.26,86,100,7.02
267,Vestmannaeyjar,IS,2021-04-10 01:04:00,63.4427,-20.2734,28.36,52,0,10.92
268,Atar,MR,2021-04-10 01:04:01,20.5169,-13.0499,79.32,19,0,11.07
269,Araouane,ML,2021-04-10 01:04:01,18.9048,-3.5265,84.67,12,0,5.91
270,Kodiak,US,2021-04-10 00:59:42,57.79,-152.4072,35.6,25,1,14.97
271,Okhotsk,RU,2021-04-10 01:04:01,59.3833,143.3,22.86,67,96,5.06
272,Inhambane,MZ,2021-04-10 01:04:02,-23.865,35.3833,72.07,81,0,5.55
